"state","period_start","period_end","duration"
"Intermediate","2021-03-18 06:38:18+01","2021-03-18 06:38:20+01","00:00:02"
"Active","2021-03-18 06:38:20+01","2021-03-18 06:38:23+01","00:00:03"
"Intermediate","2021-03-18 06:38:23+01","2021-03-18 06:38:24+01","00:00:01"
"Active","2021-03-18 06:38:24+01","2021-03-18 06:38:28+01","00:00:04"
"Intermediate","2021-03-18 06:38:28+01","2021-03-18 06:38:30+01","00:00:02"
"Active","2021-03-18 06:38:30+01","2021-03-18 06:38:32+01","00:00:02"
"Intermediate","2021-03-18 06:38:32+01","2021-03-18 06:38:34+01","00:00:02"
"Active","2021-03-18 06:38:34+01","2021-03-18 06:38:36+01","00:00:02"
"Intermediate","2021-03-18 06:38:36+01","2021-03-18 06:38:39+01","00:00:03"
"Active","2021-03-18 06:38:39+01","2021-03-18 06:38:42+01","00:00:03"
"Intermediate","2021-03-18 06:38:42+01","2021-03-18 06:38:43+01","00:00:01"
"Active","2021-03-18 06:38:43+01","2021-03-18 06:38:44+01","00:00:01"
"Intermediate","2021-03-18 06:38:44+01","2021-03-18 06:38:45+01","00:00:01"
"Active","2021-03-18 06:38:45+01","2021-03-18 06:38:48+01","00:00:03"
"Intermediate","2021-03-18 06:38:48+01","2021-03-18 06:38:49+01","00:00:01"
"Active","2021-03-18 06:38:49+01","2021-03-18 06:38:51+01","00:00:02"
"Intermediate","2021-03-18 06:38:51+01","2021-03-18 06:38:54+01","00:00:03"
"Active","2021-03-18 06:38:54+01","2021-03-18 06:39:02+01","00:00:08"
"Intermediate","2021-03-18 06:39:02+01","2021-03-18 06:39:03+01","00:00:01"
"Active","2021-03-18 06:39:03+01","2021-03-18 06:39:13+01","00:00:10"
"Intermediate","2021-03-18 06:39:13+01","2021-03-18 06:39:14+01","00:00:01"
"Active","2021-03-18 06:39:14+01","2021-03-18 06:39:16+01","00:00:02"
"Intermediate","2021-03-18 06:39:16+01","2021-03-18 06:39:17+01","00:00:01"
